time_s,latitude,longitude,rel_alt_m,battery_pct
0.00132813,0,0,0,0
0.202097,0,0,0,0
0.402296,47.3978,8.54561,0.001,100
0.602444,47.3978,8.54561,0.005,100
0.802573,47.3978,8.54561,0.008,100
1.00269,47.3978,8.54561,0.011,100
1.20282,47.3978,8.54561,0.012,100
1.40296,47.3978,8.54561,0.011,100
1.60307,47.3978,8.54561,0.01,100
1.80401,47.3978,8.54561,0.01,100
2.00412,47.3978,8.54561,0.01,100
2.20421,47.3978,8.54561,0.013,100
2.40455,47.3978,8.54561,0.016,100
2.6047,47.3978,8.54561,0.017,100
2.80481,47.3978,8.54561,0.019,100
3.00498,47.3978,8.54561,0.022,100
3.20513,47.3978,8.54561,0.024,97
3.40525,47.3978,8.54561,0.025,97
3.60535,47.3978,8.54561,0.027,97
3.80544,47.3978,8.54561,0.027,97
4.00556,47.3978,8.54561,0.029,97
4.20567,47.3978,8.54561,0.029,97
4.406,47.3978,8.54561,0.03,97
4.60611,47.3978,8.54561,0.031,97
4.80626,47.3978,8.54561,0.033,97
5.0064,47.3978,8.54561,0.035,97
5.20652,47.3978,8.54561,0.046,94
5.40666,47.3978,8.54561,0.084,94
5.60723,47.3978,8.54561,0.156,94
5.80737,47.3978,8.54561,0.264,94
6.00749,47.3978,8.54561,0.394,94
6.2076,47.3978,8.54561,0.535,94
6.40773,47.3978,8.54561,0.692,94
6.60785,47.3978,8.54561,0.862,94
6.80799,47.3978,8.54561,1.046,94
7.00814,47.3978,8.54561,1.243,94
7.20849,47.3978,8.54561,1.458,90
7.4086,47.3978,8.54561,1.662,90
7.60872,47.3978,8.54561,1.893,90
7.80883,47.3978,8.54561,2.123,90
8.00925,47.3978,8.54561,2.352,90
8.20938,47.3978,8.54561,2.597,90
8.40951,47.3978,8.54561,2.858,90
8.60964,47.3978,8.54561,3.113,90
8.80994,47.3978,8.54561,3.362,90
9.011,47.3978,8.54561,3.362,90
9.21201,47.3978,8.54561,3.636,87
9.4122,47.3978,8.54561,3.894,87
9.61235,47.3978,8.54561,4.165,87
9.81248,47.3978,8.54561,4.45,87
10.0126,47.3978,8.54561,4.996,87
10.2127,47.3978,8.54561,4.996,87
10.4128,47.3978,8.54561,5.279,87
10.613,47.3978,8.54561,5.577,87
10.8131,47.3978,8.54561,5.852,87
11.0136,47.3978,8.54561,6.141,87
11.2141,47.3978,8.54561,6.443,84
11.4142,47.3978,8.54561,6.735,84
11.6147,47.3978,8.54561,7.017,84
11.8152,47.3978,8.54561,7.313,84
12.0154,47.3978,8.54561,7.61,84
12.2156,47.3978,8.54561,7.92,84
12.4165,47.3978,8.54561,8.209,84
12.6166,47.3978,8.54561,8.508,84
12.8168,47.3978,8.54561,8.818,84
13.0169,47.3978,8.54561,9.106,84
13.217,47.3978,8.54561,9.409,80
13.4171,47.3978,8.54561,9.71,80
13.6173,47.3978,8.54561,10.01,80
